39,38.91,39.06,38.99,0.005,0.44,0.44,0.44,0.005
39.2,39.06,39.37,39.22,0.05,0.56,0.56,0.56,0.005
39.4,39.37,39.52,39.45,0.05,0.76,0.76,0.76,0.005
39.6,39.52,39.68,39.60,0.05,1.08,1.08,1.08,0.005
39.8,39.68,39.85,39.77,0.05,1.56,1.6,1.58,0.005
40,40,40.00,40.00,0.005,2.28,2.32,2.3,0.05
40.2,40.16,40.32,40.24,0.05,3.04,3.08,3.06,0.005
40.4,40.32,40.48,40.40,0.05,3.48,3.6,3.54,0.05
40.6,40.48,40.65,40.57,0.05,3.4,3.44,3.42,0.005
40.8,40.65,40.81,40.73,0.05,2.92,2.96,2.94,0.005
41,40.81,41.15,40.98,0.05,2.32,2.32,2.32,0.005
41.2,41.15,41.32,41.24,0.05,1.8,1.84,1.82,0.005
41.4,41.32,41.66,41.49,0.05,1.4,1.4,1.4,0.005
41.6,41.49,41.66,41.58,0.05,1.12,1.16,1.14,0.005
41.8,41.66,41.84,41.75,0.05,0.88,0.92,0.9,0.05
42,41.84,42.09,41.97,0.05,0.76,0.8,0.78,0.05
42.2,42.19,42.37,42.28,0.05,0.64,0.68,0.66,0.005
42.4,42.37,42.55,42.46,0.05,0.56,0.56,0.56,0.005
42.6,42.55,42.63,42.59,0.05,0.52,0.6,0.56,0.05
42.8,42.73,42.91,42.82,0.05,0.44,0.48,0.46,0.005
43,42.91,43.1,43.01,0.05,0.44,0.44,0.44,0.005
