amp1,amp2,amp,erramp,frec1,frec2,frec,errfrec
15.2,16,15.6,-0.4,36.04,35.95,35.995,-0.045
29.2,28.6,28.9,0.3,36.46,36.55,36.505,0.045
59.2,58,58.6,0.6,36.92,37.03,36.975,0.055
99,97.6,98.3,0.7,37.42,37.54,37.48,0.06
116,112,114,2,38.02,37.96,37.99,-0.03
140,136,138,2,38.42,38.55,38.485,0.065
222,226,224,-2,39.05,38.97,39.01,-0.04
272,266,269,3,39.21,39.17,39.19,-0.02
322,318,320,2,39.44,39.35,39.395,-0.045
370,358,364,6,39.62,39.55,39.585,-0.035
412,418,415,-3,39.87,39.73,39.8,-0.07
428,418,423,5,40.05,39.97,40.01,-0.04
450,442,446,4,40.31,40.14,40.225,-0.085
516,504,510,6,40.34,40.42,40.38,0.04
668,660,664,4,40.63,40.58,40.605,-0.025
932,920,926,6,40.85,40.78,40.815,-0.035
1288,1256,1272,16,41.06,40.98,41.02,-0.04
1608,1560,1584,24,41.28,41.15,41.215,-0.065
1560,1544,1552,8,41.35,41.45,41.4,0.05
1400,1384,1392,8,41.63,41.51,41.57,-0.06
1072,1054,1063,9,41.89,41.77,41.83,-0.06
765,784,774.5,-9.5,42.03,41.94,41.985,-0.045
560,552,556,4,42.23,42.18,42.205,-0.025
400,392,396,4,42.43,42.34,42.385,-0.045
264,274,269,-5,42.61,42.58,42.595,-0.015
172,180,176,-4,42.75,42.82,42.785,0.035
112.8,114.5,113.65,-0.85,42.97,43.02,42.995,0.025
76.6,78,77.3,-0.7,43.25,43.17,43.21,-0.04
68.2,70,69.1,-0.9,43.43,43.37,43.4,-0.03
62,62.4,62.2,-0.2,44.03,43.98,44.005,-0.025
52.04,50,51.02,1.02,44.54,44.44,44.49,-0.05
52.04,51.6,51.82,0.22,44.91,45.07,44.99,0.08
62,61.2,61.6,0.4,45.52,45.47,45.495,-0.025
68,66.04,67.02,0.98,46.04,45.97,46.005,-0.035
64.2,65.8,65,-0.8,46.52,46.48,46.5,-0.02
30.4,31.8,31.1,-0.7,47.02,46.92,46.97,-0.05
21.2,20.8,21,0.2,47.54,47.4,47.47,-0.07
15.64,16.08,15.86,-0.22,47.92,48.02,47.97,0.05
20,20.2,20.1,-0.1,48.95,49.07,49.01,0.06
39,39.2,39.1,-0.1,50.02,49.96,49.99,-0.03
