obs_wl_air(nm),intens
377.34238,50
379.68835,20
380.05431,30
381.2215,20
383.77028,30
383.78152,30
384.59778,15
384.612,2
391.516,1
392.605,1
394.525,0
398.21699,6
399.10797,20
399.12581,10
399.482,3
400.072,2
402.803,1
402.966,2
402.966,2
405.657,3
408.69,2
409.784,1
410.843,3
416.448,2
416.728,5
416.728,5
417.283,3
418.44726,20
426.32856,20
427.396943,1000
428.296734,100
428.648687,40
428.802,5
429.264,6
430.048652,50
430.24455,10
431.85524,400
431.95795,1000
435.135969,100
436.264157,500
437.612159,800
439.996634,200
441.03681,50
441.239,6
441.68838,20
441.87613,50
442.519007,100
445.391749,600
446.369,800
450.235427,600
453.806,3
455.02985,40
458.297,4
463.614,20
467.161,10
467.716,1
469.484,4
472.489,20
481.26367,40
486.184,2
486.491,2
486.724,1
491.039,2
493.038,4
493.448,4
493.838,2
495.527,15
496.908,20
496.936,15
500.214,2
502.915,5
504.034,7
504.774,1
504.774,1
505.808,4
508.912,2
509.036,1
510.981,2
513.99,1
514.27,4
514.504,2
514.539,1
516.773,1
516.806,4
517.236,2
519.782,1
519.897,1
521.241,1
521.58179,8
521.778,1
521.884,1
522.238,3
522.357,5
522.817729,20
523.206,2
527.461,4
527.98345,9
529.076,1
529.979,2
530.074,3
530.443,1
530.443,1
532.202,2
532.57,1
532.787,2
533.108,1
533.108,2
533.4755,10
533.772,1
533.91183,20
534.737,2
536.591,1
537.174,2
537.257,0
537.96366,15
540.303,2
540.944,1
541.442,1
543.177,1
544.543,1
544.786,3
545.639,2
545.88,7
545.947,4
546.137,1
546.265,2
547.658,2
548.746,1
548.886,5
549.093596,50
549.133,2
549.277,1
549.621,3
550.071011,50
550.40053,15
550.43304,20
551.66665,20
552.051024,40
552.117,3
552.863,2
553.94,1
554.21,1
554.44,1
555.926,2
556.222534,500
557.028944,2000
557.313,2
557.56,10
557.764,3
558.038729,80
559.141,2
560.772,1
560.837,3
561.18099,4
564.304,1
564.956177,100
566.267,3
566.609,1
567.24509,50
569.654,3
569.695,1
570.21704,10
570.75129,40
571.411,2
571.761,3
572.18771,10
572.356,15
572.65878,20
573.086,4
574.902,5
575.057,10
575.433,1
575.504,2
576.28954,4
577.556,2
578.38938,10
578.729,6
578.824,7
580.117,2
580.554126,20
581.08,8
582.01179,15
582.351,3
582.45185,40
582.707,20
583.285661,100
584.154,1
584.966,2
585.2875,5
585.732,1
586.675017,50
587.091599,3000
587.990035,50
588.118,2
588.76868,3
594.213,2
594.545239,5
595.514,2
597.764573,4
599.38502,60
600.219,3
601.20624,50
601.21555,50
603.583389,15
604.935,3
605.612628,60
607.52551,20
608.286117,40
608.8,2
609.18275,6
609.431,2
610.386,1
610.83186,3
611.523,3
615.140667,20
616.3676,7
617.208,2
622.273337,20
623.635161,30
624.140471,10
626.733,2
634.668195,20
635.191539,8
636.83212,4
637.319,1
637.359016,30
641.01725,5
641.567923,20
642.1027,100
644.879938,10
645.419,1
645.628888,200
648.806917,15
650.490424,10
650.83693,3
653.65517,8
655.55342,2
655.569463,6
657.64204,20
660.512,2
665.223475,40
669.92296,60
672.3344,4
674.00985,20
676.447,1
677.615,3
678.921,1
678.921,1
679.54104,4
681.310882,50
682.90888,8
684.64003,20
686.96308,20
690.422,15
690.46787,100
691.129,2
691.129,2
693.53,1
699.305,2
700.079,7
705.727,10
707.736,0
708.633,1
708.951,1
713.367,1
714.345,8
715.221,5
715.221,5
715.221,5
718.047,3
720.059,2
720.887,1
722.4103,100
726.808,2
728.7262,80
730.125,5
734.116,2
735.996,5
736.143,1
736.68,2
736.702,2
740.27,1
740.599,1
742.554,60
746.501,3
748.6862,100
749.358,20
749.415,30
