,t,V1,V2,V3
0,1.5640811920166016,-0.000105203,-0.000258676,-1.9807e-05
1,3.1282262802124023,-0.000120492,-0.000226911,-1.8694e-05
2,4.690441846847534,-0.000134598,-0.000199826,-2.3648e-05
3,6.2561936378479,-0.000141022,-0.00018097,-1.1241e-05
4,7.818420171737671,-0.000142038,-0.000168218,-1.4114e-05
5,9.380048513412476,-0.000140854,-0.00015979,-2.014e-05
6,10.945800304412842,-0.000141084,-0.00015356,-2.1265e-05
7,12.508171319961548,-0.000141818,-0.000146608,-2.1566e-05
8,14.075995206832886,-0.000141598,-0.00014241,-2.1088e-05
9,15.640279769897461,-0.000139397,-0.000138965,-2.1358e-05
10,17.194788217544556,-0.000139135,-0.000133165,-8.629e-06
11,18.75794267654419,-0.000136054,-0.00012681,-1.1314e-05
12,20.32502555847168,-0.000137804,-0.00012147,-9.441e-06
13,21.89394187927246,-0.000136117,-0.000116759,-9.336e-06
14,23.454602003097534,-0.000136736,-0.000114906,-6.505e-06
15,25.02033758163452,-0.00013923,-0.000112487,-5.2e-07
16,26.578433990478516,-0.000135038,-0.000111901,9.16e-07
17,28.14551305770874,-0.000134765,-0.000110603,2.092e-06
18,29.71146321296692,-0.000133791,-0.000106676,3.008e-06
19,31.271024703979492,-0.000132942,-0.000104593,4.205e-06
20,32.83341693878174,-0.000132617,-0.000102625,5.922e-06
21,34.39954352378845,-0.000131297,-9.6479e-05,6.89e-06
22,35.96030902862549,-0.000130961,-9.1569e-05,8.202e-06
23,37.522361755371094,-0.000131632,-8.8574e-05,-1.9443e-05
24,39.089404582977295,-0.000132628,-8.9359e-05,-1.4083e-05
25,40.64891171455383,-0.000129945,-8.9056e-05,-8.597e-06
26,42.21905827522278,-0.000129253,-8.4658e-05,-4.767e-06
27,43.785059690475464,-0.000128499,-8.4994e-05,-6.537e-06
28,45.344064235687256,-0.000127597,-8.6396e-05,1.0679e-05
29,46.90892457962036,-0.000127912,-8.5098e-05,1.0034e-05
30,48.473944425582886,-0.000126969,-8.6334e-05,1.0117e-05
31,50.03714299201965,-0.000126696,-8.58e-05,1.1043e-05
32,51.59980344772339,-0.000126099,-8.5234e-05,1.0835e-05
33,53.15721535682678,-0.000124904,-8.3632e-05,1.0429e-05
34,54.72682547569275,-0.000124988,-8.3695e-05,8.587e-06
35,56.288777351379395,-0.00012371,-8.0554e-05,7.525e-06
36,57.85679793357849,-0.00012393,-7.8952e-05,9.014e-06
37,59.41724514961243,-0.000123479,-7.5717e-05,9.388e-06
38,60.982487201690674,-0.000123406,-7.3571e-05,9.17e-06
39,62.54369568824768,-0.000123196,-7.0577e-05,9.066e-06
40,64.10767245292664,-0.000122756,-6.8399e-05,9.128e-06
41,65.66507601737976,-0.000122358,-6.6671e-05,9.243e-06
42,67.23182964324951,-0.000121498,-6.3876e-05,9.701e-06
43,68.79238533973694,-0.000120754,-6.2431e-05,9.482e-06
44,70.3611421585083,-0.00012065,-6.0452e-05,9.388e-06
45,71.92477369308472,-0.000120545,-5.8945e-05,9.388e-06
46,73.4866213798523,-0.000120199,-5.6746e-05,9.586e-06
47,75.05211615562439,-0.000120042,-6.3007e-05,1.0211e-05
48,76.61540961265564,-0.000120272,-5.482e-05,1.0679e-05
49,78.17917680740356,-0.000119088,-5.3019e-05,1.0367e-05
50,79.73681330680847,-0.000119266,-5.3071e-05,1.1023e-05
51,81.30841445922852,-0.000119256,-5.0852e-05,1.0627e-05
52,82.86475157737732,-0.00011825,-5.0004e-05,1.1959e-05
53,84.43082547187805,-0.000118187,-4.7669e-05,1.2563e-05
54,85.99460673332214,-0.000117862,-4.5763e-05,1.2501e-05
55,87.55363869667053,-0.000117495,-4.4465e-05,1.4218e-05
56,89.12711524963379,-0.000116793,-4.6957e-05,1.4738e-05
57,90.68680477142334,-0.000116804,-4.4978e-05,1.4936e-05
58,92.25021600723267,-0.000116102,-4.4025e-05,1.5758e-05
59,93.81725668907166,-0.000116458,-4.123e-05,1.6508e-05
60,95.37671160697937,-0.000116175,-3.9607e-05,1.7934e-05
61,96.93535542488098,-0.000116154,-3.8759e-05,2.0505e-05
62,98.50587701797485,-0.000114834,-3.6393e-05,2.14e-05
63,100.06564569473267,-0.000116416,-3.5262e-05,2.1795e-05
