Carpeta,Media,Desviación Estándar
10 ms,-0.0021766240000000003,0.0011298657393736462
2.5 mus,-0.0022182943999999997,0.0010322566236859846
1 mus,-0.002068368,0.001010738177246042
2.5 ms,-0.0021394704000000007,0.001156986327487619
1 ms,-0.0021522944,0.001217375350391002
25 ms,-0.0021942400000000005,0.0011316129835733499
5 ms,-0.0021620096000000005,0.00116474817710143
250 mus,-0.0021539200000000006,0.0012184015879706544
500 mus,-0.0021603936,0.00124551872661419
10 mus,-0.0021509152,0.0010607217085226133
50 mus,-0.0021734672,0.0011041071355327918
50 ms,-0.0021848000000000006,0.0011303371491056472
5 mus,-0.0021445375999999995,0.0012125136382505276
100 mus,-0.0025376342857142855,0.0009956419078732599
25 mus,-0.0021502752,0.0011155042365064182
